x1,y
4.370000000000000107e+00,5.230000000000000426e+00
4.559999999999999609e+00,5.740000000000000213e+00
4.259999999999999787e+00,4.929999999999999716e+00
4.559999999999999609e+00,5.740000000000000213e+00
4.299999999999999822e+00,5.190000000000000391e+00
4.459999999999999964e+00,5.459999999999999964e+00
3.839999999999999858e+00,4.650000000000000355e+00
4.570000000000000284e+00,5.269999999999999574e+00
4.259999999999999787e+00,5.570000000000000284e+00
4.370000000000000107e+00,5.120000000000000107e+00
3.490000000000000213e+00,5.730000000000000426e+00
4.429999999999999716e+00,5.450000000000000178e+00
4.480000000000000426e+00,5.419999999999999929e+00
4.009999999999999787e+00,4.049999999999999822e+00
4.290000000000000036e+00,4.259999999999999787e+00
4.419999999999999929e+00,4.580000000000000071e+00
4.230000000000000426e+00,3.939999999999999947e+00
4.419999999999999929e+00,4.179999999999999716e+00
4.230000000000000426e+00,4.179999999999999716e+00
3.490000000000000213e+00,5.889999999999999680e+00
4.290000000000000036e+00,4.379999999999999893e+00
4.290000000000000036e+00,4.219999999999999751e+00
4.419999999999999929e+00,4.419999999999999929e+00
4.490000000000000213e+00,4.849999999999999645e+00
4.379999999999999893e+00,5.019999999999999574e+00
4.419999999999999929e+00,4.660000000000000142e+00
4.290000000000000036e+00,4.660000000000000142e+00
4.379999999999999893e+00,4.900000000000000355e+00
4.219999999999999751e+00,4.389999999999999680e+00
3.479999999999999982e+00,6.049999999999999822e+00
4.379999999999999893e+00,4.419999999999999929e+00
4.559999999999999609e+00,5.099999999999999645e+00
4.450000000000000178e+00,5.219999999999999751e+00
3.490000000000000213e+00,6.290000000000000036e+00
4.230000000000000426e+00,4.339999999999999858e+00
4.620000000000000107e+00,5.620000000000000107e+00
4.530000000000000249e+00,5.099999999999999645e+00
4.450000000000000178e+00,5.219999999999999751e+00
4.530000000000000249e+00,5.179999999999999716e+00
4.429999999999999716e+00,5.570000000000000284e+00
4.379999999999999893e+00,4.620000000000000107e+00
4.450000000000000178e+00,5.059999999999999609e+00
4.500000000000000000e+00,5.339999999999999858e+00
4.450000000000000178e+00,5.339999999999999858e+00
4.549999999999999822e+00,5.540000000000000036e+00
4.450000000000000178e+00,4.980000000000000426e+00
4.419999999999999929e+00,4.500000000000000000e+00
